0.	0.	0.	0.	0.
1.	117.73845539128263*(4.62215629236613*^-18 - (1.4488946165848488*^7*(-4.886829403438235*^-17*GeV^4 - 2.0883654273697127*^-18*GeV^2*mTv - 2.2313839428423288*^-20*mTv^2))/GeV^4)	0.11773845539128264*(2.3268784845565666*^-15 - (4.5398200384228486*^8*(-2.628797556562241*^-15*GeV^4 - 1.1234052776087871*^-16*GeV^2*mTv - 1.2003399669002639*^-18*mTv^2))/GeV^4)	0.00011773845539128262*(2.329142066446233*^-13 + (0.001110733137154355*(0.11137694090461717*GeV^4 + 0.004759645447107816*GeV^2*mTv + 0.000050856024732017306*mTv^2))/GeV^4)	1.1773845539128264*^-7*(2.329163393221772*^-11 + (0.0011126465722491041*(11.137694090499311*GeV^4 + 0.47596454471087024*GeV^2*mTv + 0.00508560247320069*mTv^2))/GeV^4)
2.	231.60427103603854*(2.4070370375923347*^-19 - (920905.5326283576*(-4.7898268055451585*^-17*GeV^4 - 2.0365664742239543*^-18*GeV^2*mTv - 2.1650073061333423*^-20*mTv^2))/GeV^4)	0.2316042710360385*(2.168624223366805*^-15 - (8.706687034019402*^8*(-2.5766164437932403*^-15*GeV^4 - 1.0955407973380868*^-16*GeV^2*mTv - 1.1646336376121274*^-18*mTv^2))/GeV^4)	0.00023160427103603853*(2.1769441728567775*^-13 + (0.002209665762312666*(0.10916613060467979*GeV^4 + 0.00464158916831169*GeV^2*mTv + 0.000049343218347640754*mTv^2))/GeV^4)	2.3160427103603852*^-7*(2.177023702143914*^-11 + (0.002217299837316303*(10.916613060502788*GeV^4 + 0.46415891683125715*GeV^2*mTv + 0.00493432183476308*mTv^2))/GeV^4)
3.	341.6929807504487*(7.904020601937714*^-21 - (33913.67196383027*(-4.694305747631499*^-17*GeV^4 - 1.9857490134019796*^-18*GeV^2*mTv - 2.100164041262112*^-20*mTv^2))/GeV^4)	0.3416929807504487*(2.01232989308474*^-15 - (1.2515328237856312*^9*(-2.5252323035542386*^-15*GeV^4 - 1.0682042963381529*^-16*GeV^2*mTv - 1.1297521630079451*^-18*mTv^2))/GeV^4)	0.00034169298075044873*(2.0294747559870346*^-13 + (0.003296852506033525*(0.10698908645086373*GeV^4 + 0.004525769833014347*GeV^2*mTv + 0.000047865359420953974*mTv^2))/GeV^4)	3.4169298075044874*^-7*(2.0296411515411926*^-11 + (0.003313984681020635*(10.698908645118482*GeV^4 + 0.45257698330152263*GeV^2*mTv + 0.004786535942094446*mTv^2))/GeV^4)
4.	448.0980234924908*(2.0140080324939924*^-22 - (950.037010682795*(-4.600249682921293*^-17*GeV^4 - 1.935899277775287*^-18*GeV^2*mTv - 2.0368276157438277*^-20*mTv^2))/GeV^4)	0.4480980234924907*(1.8590325723648568*^-15 - (1.5981011952354615*^9*(-2.4746362347529937*^-15*GeV^4 - 1.0413883687858817*^-16*GeV^2*mTv - 1.0956812703301292*^-18*mTv^2))/GeV^4)	0.0004480980234924908*(1.8868530126346678*^-13 + (0.004372348465279102*(0.10484543132153767*GeV^4 + 0.004412156064211496*GeV^2*mTv + 0.000046421843243513544*mTv^2))/GeV^4)	4.4809802349249076*^-7*(1.887127343397632*^-11 + (0.004402726136645111*(10.484543132183266*GeV^4 + 0.44121560642123714*GeV^2*mTv + 0.004642184324350447*mTv^2))/GeV^4)
5.	550.9107864268364*(4.347564060332569*^-24 - (22.408219745604057*(-4.507642192267467*^-17*GeV^4 - 1.887003637749247*^-18*GeV^2*mTv - 1.974971831298013*^-20*mTv^2))/GeV^4)	0.5509107864268363*(1.7096577186054752*^-15 - (1.911937046270635*^9*(-2.424819404953306*^-15*GeV^4 - 1.0150856828424841*^-16*GeV^2*mTv - 1.0624068666013661*^-18*mTv^2))/GeV^4)	0.0005509107864268364*(1.749194978667997*^-13 + (0.005436209187837776*(0.10273479100389062*GeV^4 + 0.004300716798355713*GeV^2*mTv + 0.000045012072723809934*mTv^2))/GeV^4)	5.509107864268363*^-7*(1.7495913486360523*^-11 + (0.005483549381634735*(10.27347910041604*GeV^4 + 0.4300716798356585*GeV^2*mTv + 0.004501207272380127*mTv^2))/GeV^4)
6.	650.2206471398562*(8.328286993117332*^-26 - (0.4683623784709811*(-4.41646698354221*^-17*GeV^4 - 1.839048600346361*^-18*GeV^2*mTv - 1.914570820915078*^-20*mTv^2))/GeV^4)	0.6502206471398562*(1.565018969012344*^-15 - (2.194624510333233*^9*(-2.3757730500470774*^-15*GeV^4 - 9.892889801603378*^-17*GeV^2*mTv - 1.0299150370466137*^-18*mTv^2))/GeV^4)	0.0006502206471398562*(1.6166133991233945*^-13 + (0.006488490656992842*(0.10065679418003769*GeV^4 + 0.0041914212832670815*GeV^2*mTv + 0.00004363545832041051*mTv^2))/GeV^4)	6.502206471398562*^-7*(1.6171395888671182*^-11 + (0.006556479734329768*(10.065679418028324*GeV^4 + 0.4191421283267951*GeV^2*mTv + 0.004363545832040224*mTv^2))/GeV^4)
7.	746.115015021042*(1.4557980316793545*^-27 - (0.008939272758043135*(-4.326707891028705*^-17*GeV^4 - 1.7920208082931147*^-18*GeV^2*mTv - 1.855599045939595*^-20*mTv^2))/GeV^4)	0.7461150150210419*(1.4258196359414773*^-15 - (2.447755138640885*^9*(-2.3274884739270973*^-15*GeV^4 - 9.639910753917735*^-17*GeV^2*mTv - 9.981920435240922*^-19*mTv^2))/GeV^4)	0.000746115015021042*(1.4892176039116444*^-13 + (0.007529249276434341*(0.09861107241315703*GeV^4 + 0.0040842390760520144*GeV^2*mTv + 0.000042291417975483765*mTv^2))/GeV^4)	7.461150150210419*^-7*(1.4898757226725183*^-11 + (0.007621542650733935*(9.861107241337926*GeV^4 + 0.4084239076052881*GeV^2*mTv + 0.004229141797547588*mTv^2))/GeV^4)
8.	838.6793718268425*(2.3648381592208066*^-29 - (0.00015891052263449418*(-4.238348874814227*^-17*GeV^4 - 1.7459070391104176*^-18*GeV^2*mTv - 1.7980312931702395*^-20*mTv^2))/GeV^4)	0.8386793718268425*(1.292655590646147*^-15 - (2.672916227857111*^9*(-2.279957048160577*^-15*GeV^4 - 9.391848556997908*^-17*GeV^2*mTv - 9.672243229652407*^-19*mTv^2))/GeV^4)	0.0008386793718268425*(1.3671133891359936*^-13 + (0.008558541855411102*(0.09659726013365759*GeV^4 + 0.003979140041030254*GeV^2*mTv + 0.000040979377048703486*mTv^2))/GeV^4)	8.386793718268425*^-7*(1.3679005364027578*^-11 + (0.00867876372131733*(9.659726013385749*GeV^4 + 0.3979140041031117*GeV^2*mTv + 0.004097937704869598*mTv^2))/GeV^4)
9.	927.9973114426164*(3.6143750538068806*^-31 - (2.6485087105749035*^-6*(-4.1513740201846136*^-17*GeV^4 - 1.7006942042076271*^-18*GeV^2*mTv - 1.7418426719763485*^-20*mTv^2))/GeV^4)	0.9279973114426163*(1.1660192650092455*^-15 - (2.871680786125448*^9*(-2.2331702116634086*^-15*GeV^4 - 9.14863280270701*^-17*GeV^2*mTv - 9.369984858236128*^-19*mTv^2))/GeV^4)	0.0009279973114426163*(1.2504029040196886*^-13 + (0.009576425594120096*(0.09461499462537849*GeV^4 + 0.0038760943476700326*GeV^2*mTv + 0.00003969876825153134*mTv^2))/GeV^4)	9.279973114426164*^-7*(1.2513118394681908*^-11 + (0.00972816866785367*(9.461499462555704*GeV^4 + 0.3876094347670892*GeV^2*mTv + 0.003969876825152418*mTv^2))/GeV^4)
