0.	0.	0.	0.	0.
1.	117.73845539128263*(2.4111093372013796*^-10 + (0.0000635724123675638*(-2.9227044366936713*^-6*GeV^4 - 1.3866456991240227*^-12*GeV^2*mTv + 1.789817714628885*^-10*mTv^2))/GeV^4)	0.11773845539128264*(1.2137967835300806*^-7 + (0.0010715205254946817*(-5.107415529605757*^-6*GeV^4 - 1.386645699124023*^-10*GeV^2*mTv + 1.790113294629627*^-10*mTv^2))/GeV^4)	0.00011773845539128262*(0.00001214977562172012 + (0.001110733137154355*(-0.00004559103549938288*GeV^4 - 1.386645699124023*^-8*GeV^2*mTv + 1.8196712947038707*^-10*mTv^2))/GeV^4)	1.1773845539128264*^-7*(0.0012149886871068655 + (0.0011126465722491041*(-0.002314078139262781*GeV^4 - 1.3866456991240233*^-6*GeV^2*mTv + 4.775471302128179*^-10*mTv^2))/GeV^4)
2.	231.60427103603854*(1.3033674159881736*^-11 + (4.040610379919409*^-6*(-2.8357395451936355*^-6*GeV^4 - 1.3278302571884315*^-12*GeV^2*mTv + 1.7365762380394136*^-10*mTv^2))/GeV^4)	0.2316042710360385*(1.1742711500136303*^-7 + (0.002055014028540935*(-4.953121028433885*^-6*GeV^4 - 1.3278302571884318*^-10*GeV^2*mTv + 1.7368587726842488*^-10*mTv^2))/GeV^4)	0.00023160427103603853*(0.00001178776253549031 + (0.002209665762312666*(-0.000043998346635543546*GeV^4 - 1.3278302571884315*^-8*GeV^2*mTv + 1.7651122371677912*^-10*mTv^2))/GeV^4)	2.3160427103603852*^-7*(0.00117881931723266 + (0.002217299837316303*(-0.0022215916801773578*GeV^4 - 1.3278302571884314*^-6*GeV^2*mTv + 4.590458685522027*^-10*mTv^2))/GeV^4)
3.	341.6929807504487*(4.453004955292279*^-13 + (1.4880129405578812*^-7*(-2.7507839601885765*^-6*GeV^4 - 1.269620028379524*^-12*GeV^2*mTv + 1.684564698132916*^-10*mTv^2))/GeV^4)	0.3416929807504487*(1.1337160461591298*^-7 + (0.0029539565393929272*(-4.802423275243411*^-6*GeV^4 - 1.2696200283795244*^-10*GeV^2*mTv + 1.6848346076205418*^-10*mTv^2))/GeV^4)	0.00034169298075044873*(0.000011433752010761866 + (0.003296852506033525*(-0.00004244568847430165*GeV^4 - 1.2696200283795242*^-8*GeV^2*mTv + 1.7118255563831272*^-10*mTv^2))/GeV^4)	3.4169298075044874*^-7*(0.0011434689457998557 + (0.003313984681020635*(-0.0021315655453158742*GeV^4 - 1.2696200283795242*^-6*GeV^2*mTv + 4.4109204326416214*^-10*mTv^2))/GeV^4)
4.	448.0980234924908*(1.1834830963381881*^-14 + (4.1684290849207795*^-9*(-2.667802910320712*^-6*GeV^4 - 1.21202752807419*^-12*GeV^2*mTv + 1.633761812999612*^-10*mTv^2))/GeV^4)	0.4480980234924907*(1.0924155164423208*^-7 + (0.003771951791083055*(-4.655259673805014*^-6*GeV^4 - 1.2120275280741903*^-10*GeV^2*mTv + 1.6340195228792016*^-10*mTv^2))/GeV^4)	0.0004480980234924908*(0.000011087635251199406 + (0.004372348465279102*(-0.00004093233230959973*GeV^4 - 1.2120275280741902*^-8*GeV^2*mTv + 1.6597905108381628*^-10*mTv^2))/GeV^4)	4.4809802349249076*^-7*(0.0011089247289560403 + (0.004402726136645111*(-0.0020439535587627156*GeV^4 - 1.2120275280741905*^-6*GeV^2*mTv + 4.236889306734247*^-10*mTv^2))/GeV^4)
5.	550.9107864268364*(2.6717024593206043*^-16 + (9.831940637948416*^-11*(-2.5867620622463233*^-6*GeV^4 - 1.1550647338601196*^-12*GeV^2*mTv + 1.5841465687982166*^-10*mTv^2))/GeV^4)	0.5509107864268363*(1.0506335658330228*^-7 + (0.004512689426438982*(-4.511568419607201*^-6*GeV^4 - 1.1550647338601201*^-10*GeV^2*mTv + 1.5843925099650967*^-10*mTv^2))/GeV^4)	0.0005509107864268364*(0.000010749303429426755 + (0.005436209187837776*(-0.00003945755893949338*GeV^4 - 1.1550647338601198*^-8*GeV^2*mTv + 1.60898662665313*^-10*mTv^2))/GeV^4)	5.509107864268363*^-7*(0.0010751739236245835 + (0.005483549381634735*(-0.0019587101587660973*GeV^4 - 1.1550647338601199*^-6*GeV^2*mTv + 4.0683982954564*^-10*mTv^2))/GeV^4)
6.	650.2206471398562*(5.367361697389174*^-18 + (2.05500979303739*^-12*(-2.50762751679091*^-6*GeV^4 - 1.0987430939542773*^-12*GeV^2*mTv + 1.5356982174028672*^-10*mTv^2))/GeV^4)	0.6502206471398562*(1.0086135212326737*^-7 + (0.0051799084295700935*(-4.37128849288508*^-6*GeV^4 - 1.0987430939542779*^-10*GeV^2*mTv + 1.5359328260812093*^-10*mTv^2))/GeV^4)	0.0006502206471398562*(0.000010418647730453854 + (0.006488490656992842*(-0.000038020658580530665*GeV^4 - 1.0987430939542776*^-8*GeV^2*mTv + 1.5593936939154566*^-10*mTv^2))/GeV^4)	6.502206471398562*^-7*(0.0010422038884815316 + (0.006556479734329768*(-0.0018757903921273764*GeV^4 - 1.0987430939542772*^-6*GeV^2*mTv + 3.9054804773401684*^-10*mTv^2))/GeV^4)
7.	746.115015021042*(9.869004674677316*^-20 + (3.9222392542250693*^-14*(-2.430365805126262*^-6*GeV^4 - 1.0430735355581821*^-12*GeV^2*mTv + 1.48839627406346*^-10*mTv^2))/GeV^4)	0.7461150150210419*(9.665778044857555*^-8 + (0.005777365292545751*(-4.234359651688976*^-6*GeV^4 - 1.0430735355581824*^-10*GeV^2*mTv + 1.4886199917763635*^-10*mTv^2))/GeV^4)	0.000746115015021042*(0.000010095559394088304 + (0.007529249276434341*(-0.00003662093078262826*GeV^4 - 1.0430735355581821*^-8*GeV^2*mTv + 1.5109917630667464*^-10*mTv^2))/GeV^4)	7.461150150210419*^-7*(0.0010100020848896063 + (0.007621542650733935*(-0.001795149908623237*GeV^4 - 1.043073535558182*^-6*GeV^2*mTv + 3.748168892105006*^-10*mTv^2))/GeV^4)
8.	838.6793718268425*(1.691736125625284*^-21 + (6.972436199864603*^-16*(-2.3549438849693767*^-6*GeV^4 - 9.880664731501457*^-13*GeV^2*mTv + 1.4422205150793664*^-10*mTv^2))/GeV^4)	0.8386793718268425*(9.247280420272472*^-8 + (0.006308806465534939*(-4.1007224249927315*^-6*GeV^4 - 9.880664731501464*^-11*GeV^2*mTv + 1.4424337886067092*^-10*mTv^2))/GeV^4)	0.0008386793718268425*(9.779929756332343*^-6 + (0.008558541855411102*(-0.000035257684344443125*GeV^4 - 9.880664731501463*^-9*GeV^2*mTv + 1.4637611413410196*^-10*mTv^2))/GeV^4)	8.386793718268425*^-7*(0.0009785560777897944 + (0.00867876372131733*(-0.0017167449554606332*GeV^4 - 9.88066473150146*^-7*GeV^2*mTv + 3.5964964147720224*^-10*mTv^2))/GeV^4)
9.	927.9973114426164*(2.737845250971699*^-23 + (1.1620726999774339*^-17*(-2.2813291368031557*^-6*GeV^4 - 9.33731816714635*^-13*GeV^2*mTv + 1.3971509754864713*^-10*mTv^2))/GeV^4)	0.9279973114426163*(8.83245446231338*^-8 + (0.006777944673928321*(-3.970318105841582*^-6*GeV^4 - 9.337318167146356*^-11*GeV^2*mTv + 1.397354256810899*^-10*mTv^2))/GeV^4)	0.0009279973114426163*(9.471650289766642*^-6 + (0.009576425594120096*(-0.000033930237229237714*GeV^4 - 9.337318167146353*^-9*GeV^2*mTv + 1.4176823892537424*^-10*mTv^2))/GeV^4)	9.279973114426164*^-7*(0.0009478535365510234 + (0.00972816866785367*(-0.0016405323717643865*GeV^4 - 9.337318167146352*^-7*GeV^2*mTv + 3.4504956335380304*^-10*mTv^2))/GeV^4)
10.	4.148407145480255e-22	1.0141505788581027*(8.42291412418156*^-8 + (0.007188438719005458*(-3.843088744539473*^-6*GeV^4 - 8.80078979908904*^-11*GeV^2*mTv + 1.3533616929989237*^-10*mTv^2))/GeV^4)	0.0010141505788581028*(9.1706126429232*^-6 + (0.010582958069330203*(-0.00003263791648123733*GeV^4 - 8.800789799089036*^-9*GeV^2*mTv + 1.3727363171411802*^-10*mTv^2))/GeV^4)	1.0141505788581029*^-6*(0.0009178822357784359 + (0.010769783340291697*(-0.0015664695830973291*GeV^4 - 8.800789799089037*^-7*GeV^2*mTv + 3.310198731366826*^-10*mTv^2))/GeV^4)
11.	6.667187255017353e-24	1.0972191083715284*(8.020082833609164*^-8 + (0.007543876409631261*(-3.7189771418756693*^-6*GeV^4 - 8.271168881670653*^-11*GeV^2*mTv + 1.3104366478545446*^-10*mTv^2))/GeV^4)	0.0010972191083715283*(8.87670867865022*^-6 + (0.011578197220237646*(-0.00003138005814247782*GeV^4 - 8.27116888167065*^-9*GeV^2*mTv + 1.3289039817496015*^-10*mTv^2))/GeV^4)	1.0972191083715283*^-6*(0.000888630056080756 + (0.011803633713660385*(-0.0014945145960128883*GeV^4 - 8.271168881670649*^-7*GeV^2*mTv + 3.175637371255305*^-10*mTv^2))/GeV^4)
12.	1.0252382448712296e-25	1.1772810610371747*(7.625202401131098*^-8 + (0.007847760301358647*(-3.5979268423905636*^-6*GeV^4 - 7.748539867417549*^-11*GeV^2*mTv + 1.2685599238512901*^-10*mTv^2))/GeV^4)	0.0011772810610371745*(8.589830511472564*^-6 + (0.012562201334550138*(-0.000030156007170142227*GeV^4 - 7.748539867417547*^-9*GeV^2*mTv + 1.286166682873874*^-10*mTv^2))/GeV^4)	1.1772810610371745*^-6*(0.0008600849847972717 + (0.012829745885007699*(-0.0014246259926400005*GeV^4 - 7.748539867417546*^-7*GeV^2*mTv + 3.0468425851322513*^-10*mTv^2))/GeV^4)
